頁碼,內容類型,內容
17,Counsel,"Counsel: Stephen M. Shapiro argued the cause for petitioners in No. 91-1111. With him on the briefs were 
Kenneth S. Geller, Mark I. Levy, Roy T. Englert, Jr., Timothy S. Bishop, Ronald A. Jacks, Richard E. Sherwood, 
William A. Montgomery, William M. Hannay, John G. Harkins, Jr., Eleanor Morris Illoway, Bartlett H. McGuire, 
Douglas I. Brandon, James S. Greenan, Raoul D. Kennedy, Alan H. Silberman, Stuart Altschuler, Peter O. 
Glaessner, David L. Foster, Gregory L. Harris, Frank Rothman, Timothy E. Carr, Kent E. Keller, Lewis A. Kaplan, 
Allan Blumstein, Ronald C. Redcay, Michael M. Uhlmann, Robert B. Green, Stephen M. Axinn, Michael [****6]  L. 
Weiner, James M. Burns, Eugene F. Bannigan, Christine C. Burgess, Robert M. Mitchell, Philip H. Curtis, Zoe 
Baird, Jane Kelly, Joseph P. Giasi, Jr., Joseph A. Gervasi, Debra J. Anderson, Michael S. Wilder, Jeffrey L. Morris, 
Edmond F. Rondepierre, and John J. Hayden. Molly S. Boast argued the cause for petitioners in No. 91-1128. With 
her on the briefs for petitioners Merrett Underwriting Agency Management Ltd. et al. were Lawrence W. Pollack, 
Andreas F. Lowenfeld, Barry L. Bunshoft, Eric J. Sinrod, David W. Slaby, Michael L. McCluggage, James T. 
Nyeste, Michael R. Blankshain, Jerome N. Lerch, Paul R. Haerle, Martin Frederic Evans, Donald Francis Donovan, 
and Colby A. Smith. Barry R. Ostrager, Eleanor M. Fox, Mary Kay Vyskocil, and Kathryn A. Clokey filed briefs for 
petitioner Sturge Reinsurance Syndicate Management Ltd.
509 U.S. 764, *764; 113 S. Ct. 2891, **2891; 125 L. Ed. 2d 612, ***612; 1993 U.S. LEXIS 4404, ****2

 
Laurel A. Price, Deputy Attorney General of New Jersey, argued the cause for respondents in both cases. With her 
on the brief for state respondents in No. 91-1111 and on the brief for state respondents in No. 91-1128 were J. 
Joseph Curran, Jr., Attorney General of Maryland, Ellen S. Cooper, Assistant Attorney General, James H. Evans, 
Attorney General of Alabama,  [****7]  Charles E. Cole, Attorney General of Alaska, Jim Forbes, Assistant Attorney 
General, Grant Woods, Attorney General of Arizona, Suzanne M. Dallimore, Assistant Attorney General, Daniel E. 
Lungren, Attorney General of California, Roderick E. Walston, Chief Assistant Attorney General, Sanford N. 
Gruskin, Assistant Attorney General, Thomas Greene, Supervising Deputy Attorney General, Kathleen E. Foote, 
Deputy Attorney General, Gale A. Norton, Attorney General of Colorado, James R. Lewis, Assistant Attorney 
General, Richard Blumenthal, Attorney General of Connecticut, Robert M. Langer and William M. Rubenstein, 
Assistant Attorneys General, Richard T. Ieyoub, Attorney General of Louisiana, Jenifer Schaye, Assistant Attorney 
General, Scott Harshbarger, Attorney General of Massachusetts, Thomas M. Alpert and George K. Weber, 
Assistant Attorneys General, Frank J. Kelley, Attorney General of Michigan, Hubert H. Humphrey III, Attorney 
General of Minnesota, Thomas F. Pursell, Deputy Attorney General, Lisa Tiegel, Special Assistant Attorney 
General, Marc Racicot, Attorney General of Montana, Paul Johnson, Assistant Attorney General, Robert J. Del 
Tufo, Attorney General of New Jersey, Robert Abrams,  [****8]  Attorney General of New York, Jerry Boone, 
Solicitor General, George Sampson, Richard L. Schwartz and Gary J. Malone, Assistant Attorneys General, Lee 
Fisher, Attorney General of Ohio, Doreen C. Johnson and Marc B. Bandman, Assistant Attorneys General, Ernest 
D. Preate, Jr., Attorney General of Pennsylvania, Thomas L. Welch and David R. Weyl, Deputy Attorneys General, 
Kenneth O. Eikenberry, Attorney General of Washington, John R. Ellis, Deputy Attorney General, Tina E. Kondo, 
Assistant Attorney General, Mario J. Palumbo, Attorney General of West Virginia, Donald L. Darling, Deputy 
Attorney General, Donna S. Quesenberry, Senior Assistant Attorney General, James E. Doyle, Attorney General of 
Wisconsin, and Kevin J. O'Connor, Assistant Attorney General. H. Laddie Montague, Jr., Howard Langer, Nicholas 
E. Chimicles, Eugene Gressman, Jerry S. Cohen, and Robert Miller filed a brief for private respondents in both 
cases.
Deputy Solicitor General Wallace argued the cause for the United States as amicus curiae urging affirmance. With 
him on the brief were Acting Solicitor General Bryson, Acting Assistant Attorney General Clark, Robert A. Long, Jr., 
Robert B. Nicholson, Marion L. Jetton,  [****9]  Charles S. Stark, and Edward T. Hand. +
+ Briefs of amici curiae urging reversal were filed for the Government of Canada by Douglas E. Rosenthal; for the Government of 
the United Kingdom of Great Britain and Northern Ireland by Mark R. Joelson; for the American Insurance Association et al. by 
John E. Nolan, Jr., Craig A. Berrington, and Patrick J. McNally; for the National Association of Casualty & Surety Agents et al. by 
Anthony C. Epstein and Ann M. Kappler; for the National Conference of Insurance Legislators by Stephen W. Schwab, Seymour 
Simon, and Reuben A. Bernick; and for the Washington Legal Foundation by Daniel J. Popeo and Richard A. Samp.
Briefs of amici curiae urging affirmance were filed for the State of Texas et al. by Dan Morales, Attorney General of Texas, Will 
Pryor, First Assistant Attorney General, Mary F. Keller, Deputy Attorney General, and Thomas P. Perkins, Jr., Mark Tobey, 
Katherine D. Farroba, and Floyd Russell Ham, Assistant Attorneys General, Charles M. Oberly III, Attorney General of 
Delaware, John J. Polk, Deputy Attorney General, Robert A. Butterworth, Attorney General of Florida, Scott E. Clodfelter, 
Assistant Attorney General, Robert A. Marks, Attorney General of Hawaii, Larry EchoHawk, Attorney General of Idaho, Brett T. 
DeLange, Deputy Attorney General, Bonnie J. Campbell, Attorney General of Iowa, John R. Perkins, Deputy Attorney General, 
Chris Gorman, Attorney General of Kentucky, Robert V. Bullock, Assistant Attorney General, Mike Moore, Attorney General of 
Mississippi, Jim Steele, Special Assistant Attorney General, William L. Webster, Attorney General of Missouri, Henry T. 
Herschel, Tom Udall, Attorney General of New Mexico, Frankie Sue Del Papa, Attorney General of Nevada, Lacy H. Thornburg, 
Attorney General of North Carolina, James C. Gulick, Special Deputy Attorney General, and K. D. Sturgis, Assistant Attorney 
General, Nicholas J. Spaeth, Attorney General of North Dakota, David W. Huey, Assistant Attorney General, James E. O'Neil, 
Attorney General of Rhode Island, Maureen G. Glynn, Special Assistant Attorney General, T. Travis Medlock, Attorney General 
of South Carolina, Mark Barnett, Attorney General of South Dakota, Jeffrey P. Hallem, Assistant Attorney General, R. Paul Van 
Dam, Attorney General of Utah, Patrice Arent and Cy H. Castle, Assistant Attorneys General, Jeffrey L. Amestoy, Attorney 
General of Vermont, Julie Brill, Assistant Attorney General, and Mary Sue Terry, Attorney General of Virginia; for the National 
League of Cities et al. by Lawrence Kill and Anthony P. Coles; and for the Service Station Dealers of America by Dimitri G. 
Daskalopoulos.
Richard I. Fine filed a brief for the Service Industry Council et al. as amicus curiae.
509 U.S. 764, *764; 113 S. Ct. 2891, **2891; 125 L. Ed. 2d 612, ***612; 1993 U.S. LEXIS 4404, ****6

 
 [****10]"
18,Judges,"Judges: SOUTER, J., announced the judgment of the Court and delivered the opinion for a unanimous Court with 
respect to Parts I and II-A, the opinion of the Court with respect to Parts III and IV, in which REHNQUIST, C. J., and 
WHITE, BLACKMUN, and STEVENS, JJ., joined, and an opinion concurring in the judgment with respect to Part II-
B, in which WHITE, BLACKMUN, and STEVENS, JJ., joined. SCALIA, J., delivered the opinion of the Court with 
respect to Part I, in which REHNQUIST, C.J., and O'CONNOR, KENNEDY, and THOMAS, JJ., joined, and a 
dissenting opinion with respect to Part II, in which O'CONNOR, KENNEDY, and THOMAS, JJ., joined, post, p. 800."
19,Opinion by,Opinion by: SOUTER
51,Counsel,"Counsel: Solicitor General Days argued the cause for the United States. With him on the briefs were Assistant 
Attorney General Harris, Deputy Solicitor General Wallace, Malcolm L. Stewart, and John F. De Pue.
514 U.S. 549, *549; 115 S. Ct. 1624, **1624; 131 L. Ed. 2d 626, ***626; 1995 U.S. LEXIS 3039, ****1

 
John R. Carter argued the cause for respondent. With him on the brief were Lucien B. Campbell, Henry J. 
Bemporad, Carter G. Phillips, and Adam D. Hirsh. *"
51,Judges,"Judges: REHNQUIST, C. J., delivered the opinion of the Court, in which O'CONNOR, SCALIA, KENNEDY, and 
THOMAS, JJ., joined. KENNEDY, J., filed a concurring opinion, in which O'CONNOR, J., joined, post, p. 568. 
THOMAS, J., filed a concurring opinion, post, p. 584. STEVENS, J., post, p. 602, and SOUTER, J., post, p. 603, 
filed dissenting opinions. BREYER, J., filed a dissenting opinion, in which STEVENS, SOUTER, and GINSBURG, 
JJ., joined, post, p. 615."
52,Opinion by,Opinion by: REHNQUIST
105,Judges,"Judges: BREYER, J., delivered the opinion of the Court, in which REHNQUIST, C. J., and O'CONNOR, SCALIA, 
KENNEDY, SOUTER, THOMAS, and GINSBURG, JJ., joined. STEVENS, J., filed a dissenting opinion, post, p. 
252."
105,Opinion by,Opinion by: BREYER
126,Counsel,"Counsel: Charles A. Bird argued the cause for petitioners. 
Bruce J. Ennis, Jr. argued the cause for respondents."
126,Judges,"Judges: BREYER, J., delivered the opinion of the Court, in which REHNQUIST, C. J., and STEVENS, 
O'CONNOR, KENNEDY, SOUTER, and GINSBURG, JJ., joined. SCALIA, J., filed an opinion concurring in part and 
concurring in the judgment, in which THOMAS, J., joined."
